city_id,city_name,community_id,community_name,district_name,count,median_unit_price,median_total_price_10w,median_area,area_cohort,quadrant
1,广州,12,珠江帝景苑,天河区,55,76234,707,94,改善,豪宅板块
1,广州,11,侨鑫汇景新城,天河区,56,69946,701,100,改善,豪宅板块
1,广州,13,越秀公园东门,越秀区,57,60067,599,98,改善,豪宅板块
1,广州,14,北京路名宅,越秀区,46,57038,516,91,改善,豪宅板块
1,广州,16,广州塔江景花园,海珠区,54,56266,569,106,改善,改善低密
1,广州,15,保利天悦,海珠区,59,50632,461,94,改善,价值洼地
1,广州,17,万科四季花城,番禺区,52,36730,346,93,改善,价值洼地
1,广州,18,碧桂园凤凰城,番禺区,52,34338,308,98,改善,价值洼地
2,深圳,2,深圳湾科技城,南山区,61,118138,1142,94,改善,豪宅板块
2,深圳,10,深业上城,福田区,50,112450,1052,92,改善,豪宅板块
2,深圳,4,京基100,福田区,53,103473,954,93,改善,豪宅板块
2,深圳,1,华润城润府,南山区,52,97006,894,93,改善,豪宅板块
2,深圳,9,海月花园,福田区,53,90311,860,94,改善,豪宅板块
2,深圳,3,熙璟城,南山区,63,79375,750,93,改善,豪宅板块
2,深圳,5,水围村,福田区,54,64606,621,97,改善,价值洼地
2,深圳,6,鸿荣源壹城中心,龙华区,54,62745,640,105,改善,价值洼地
2,深圳,7,中海天钻,龙岗区,51,56658,510,90,改善,价值洼地
2,深圳,8,万科城,龙岗区,59,44839,435,93,改善,价值洼地
2,深圳,31,诗宁别墅,盐田区,3,38569,235,89,改善,价值洼地
3,珠海,19,中信红树湾,香洲区,44,37026,343,94,改善,豪宅板块
3,珠海,20,华发新城,香洲区,56,34721,333,98,改善,豪宅板块
3,珠海,23,格力海岸,香洲区,53,32381,321,98,改善,豪宅板块
3,珠海,22,世荣作品一号,斗门区,53,17654,154,95,改善,价值洼地
3,珠海,21,珠海万科城,斗门区,59,17455,175,95,改善,价值洼地
