community_id,city_id,district,community_name,nearest_line_id,nearest_line_name,nearest_line_status,nearest_station_name,nearest_distance_m,open_year_expected,benefit_score
1,2,南山区,华润城润府,9,27号线一期,在建,松坪村,1609,2028,48
2,2,南山区,深圳湾科技城,10,29号线一期,在建,红树湾南,1880,2028,48
3,2,龙岗区,熙璟城,12,10号线东延(深圳段),在建,双拥街,3211,2028,0
4,2,罗湖区,京基100,2,17号线一期,在建,侨社,1851,2028,48
5,2,龙华区,水围村,9,27号线一期,在建,岗头西,4669,2028,0
6,2,龙华区,鸿荣源壹城中心,9,27号线一期,在建,岗头西,3311,2028,0
7,2,罗湖区,中海天钻,2,17号线一期,在建,侨社,1069,2028,72
8,2,龙岗区,万科城,8,25号线一期,在建,吉华医院,1476,2028,48
9,2,南山区,海月花园,1,15号线,在建,前海,3514,2028,0
10,2,龙华区,深业上城,9,27号线一期,在建,岗头西,6098,2028,0
11,1,天河区,侨鑫汇景新城,17,8号线东延,在建,万胜围,5929,2027,0
12,1,海珠区,珠江帝景苑,17,8号线东延,在建,万胜围,5611,2027,0
13,1,白云区,越秀公园东门,18,24号线,在建,纪念堂,4728,2028,0
14,1,越秀区,北京路名宅,18,24号线,在建,纪念堂,1443,2028,48
15,1,海珠区,保利天悦,17,8号线东延,在建,万胜围,791,2027,90
16,1,海珠区,广州塔江景花园,17,8号线东延,在建,万胜围,5740,2027,0
17,1,白云区,万科四季花城,18,24号线,在建,纪念堂,8628,2028,0
18,1,增城区,碧桂园凤凰城,19,16号线一期,在建,新塘,2191,2027,24
19,3,香洲区,中信红树湾,21,南珠(珠海)城际,规划,拱北,3124,2030,0
20,3,香洲区,华发新城,21,南珠(珠海)城际,规划,拱北,3755,2030,0
21,3,香洲区,珠海万科城,20,珠肇高铁(珠海段),在建,珠海北,7661,2027,0
22,3,斗门区,世荣作品一号,20,珠肇高铁(珠海段),在建,珠海中心站(鹤洲),7936,2027,0
23,3,香洲区,格力海岸,20,珠肇高铁(珠海段),在建,珠海北,14452,2027,0
24,2,宝安区,中核集团宿舍,5,20号线二期,在建,机场北,4643,2028,0
25,2,龙岗区,星河智荟,6,21号线一期,在建,坳背,915,2028,72
26,2,龙岗区,信义金御半山三期,2,17号线一期,在建,上李朗,6938,2028,0
27,2,宝安区,联投东方华府一期,12,10号线东延(深圳段),在建,深莞边界,1683,2028,48
28,2,龙岗区,鹏华世家华府,12,10号线东延(深圳段),在建,双拥街,1320,2028,48
29,2,罗湖区,凤凰路166号大院,2,17号线一期,在建,侨社,2936,2028,24
30,2,坪山区,豪方东园,4,19号线一期,在建,聚龙,2819,2028,24
31,2,盐田区,诗宁别墅,3,18号线一期,在建,盐田路,1009,2028,72
33,2,福田区,海外装饰大厦,5,20号线二期,在建,福田会展,2753,2028,24
34,2,南山区,凯旋湾花园三期,1,15号线,在建,前海,4752,2028,0
35,2,罗湖区,笋岗仓库综合楼,2,17号线一期,在建,侨社,3497,2028,0
38,2,龙华区,尚品雅居,7,22号线一期,在建,黎光,1376,2028,48
39,2,宝安区,聚福大厦,10,29号线一期,在建,兴东,1148,2028,72
40,2,福田区,南溪商住楼,7,22号线一期,在建,上沙,1270,2028,48
41,2,福田区,东怡楼,2,17号线一期,在建,侨社,1735,2028,48
42,2,福田区,中心村东区,7,22号线一期,在建,上沙,1376,2028,48
43,2,坪山区,科技楼,4,19号线一期,在建,聚龙,1164,2028,72
44,2,罗湖区,横岗保障房,3,18号线一期,在建,盐田路,5686,2028,0
45,2,福田区,华康大厦,5,20号线二期,在建,福田会展,2831,2028,24
46,2,福田区,振华路42号,2,17号线一期,在建,侨社,2945,2028,24
47,2,福田区,云中大厦,7,22号线一期,在建,上沙,3916,2028,0
48,2,龙岗区,清林中路6号,6,21号线一期,在建,龙园,3493,2028,0
49,2,罗湖区,边检一大院2期,2,17号线一期,在建,侨社,968,2028,72
50,2,福田区,梅林街道文化站,7,22号线一期,在建,上沙,3735,2028,0
51,2,罗湖区,笋岗村183号,2,17号线一期,在建,侨社,3975,2028,0
52,2,罗湖区,北站路23号,2,17号线一期,在建,侨社,3587,2028,0
