community_id,city_id,community_name,station_name,station_lat,station_lng,straight_m,walk_distance_m,walk_minutes,source
1,2,华润城润府,高新园(地铁站),22.540236,113.953842,421.3,716,9.6,
2,2,深圳湾科技城,高新南(地铁站),22.532797,113.95,653.8,936,12.5,
4,2,京基100,老街(地铁站),22.544301,114.116241,211.2,262,3.5,
5,2,水围村,民宝(地铁站),22.620683,114.032817,546.4,699,9.3,
6,2,鸿荣源壹城中心,景龙(地铁站),22.646432,114.027624,373.9,967,12.9,AMAP_API
7,2,中海天钻,鹿丹村(地铁站),22.535708,114.108625,259.4,587,7.8,AMAP_API
8,2,万科城,贝尔路(地铁站),22.641719,114.066366,652.5,955,12.7,AMAP_API
9,2,海月花园,海月(地铁站),22.500409,113.937715,416.8,604.0,7.6,ESTIMATED
10,2,深业上城,上塘(地铁站),22.637056,114.012838,650.6,943.0,11.8,ESTIMATED
12,1,珠江帝景苑,赤岗塔(地铁站),23.102133,113.324659,568.4,824.0,10.3,ESTIMATED
13,1,越秀公园东门,飞翔公园(地铁站),23.168833,113.263635,681.5,988.0,12.4,ESTIMATED
14,1,北京路名宅,北京路(地铁站),23.118762,113.270327,242.7,352.0,4.4,ESTIMATED
15,1,保利天悦,万胜围(地铁站),23.097759,113.38456,790.6,1146.0,14.3,ESTIMATED
16,1,广州塔江景花园,赤岗塔(地铁站),23.102133,113.324659,533.0,773.0,9.7,ESTIMATED
25,2,星河智荟,永湖(地铁站),22.658995,114.218042,569.4,826.0,10.3,ESTIMATED
26,2,信义金御半山三期,百鸽笼(地铁站),22.595442,114.13038,440.3,638.0,8.0,ESTIMATED
28,2,鹏华世家华府,双拥街(地铁站),22.698648,114.132978,358.5,520.0,6.5,ESTIMATED
29,2,凤凰路166号大院,黄贝岭(地铁站),22.546095,114.136332,202.7,294.0,3.7,ESTIMATED
30,2,豪方东园,沙壆(地铁站),22.686481,114.36493,447.3,649.0,8.1,ESTIMATED
31,2,诗宁别墅,海山(地铁站),22.555537,114.237711,750.4,1088.0,13.6,ESTIMATED
33,2,海外装饰大厦,华强北(地铁站),22.544441,114.085413,357.3,518.0,6.5,ESTIMATED
34,2,凯旋湾花园三期,东角头(地铁站),22.486325,113.931149,826.3,1198.0,15.0,ESTIMATED
35,2,笋岗仓库综合楼,园岭(地铁站),22.556122,114.104494,382.8,555.0,6.9,ESTIMATED
39,2,聚福大厦,坪洲(地铁站),22.568908,113.870711,457.6,664.0,8.3,ESTIMATED
40,2,南溪商住楼,沙尾(地铁站),22.520798,114.042579,442.0,641.0,8.0,ESTIMATED
41,2,东怡楼,红岭南(地铁站),22.53849,114.106261,341.8,496.0,6.2,ESTIMATED
42,2,中心村东区,益田(地铁站),22.516287,114.050987,429.7,623.0,7.8,ESTIMATED
43,2,科技楼,坪山围(地铁站),22.691398,114.34366,321.8,467.0,5.8,ESTIMATED
44,2,横岗保障房,莲塘(地铁站),22.564118,114.174291,743.7,1078.0,13.5,ESTIMATED
45,2,华康大厦,华强北(地铁站),22.544441,114.085413,358.4,520.0,6.5,ESTIMATED
46,2,振华路42号,燕南(地铁站),22.544541,114.092561,20.3,29.0,0.4,ESTIMATED
47,2,云中大厦,凯丰(地铁站),22.568998,114.063621,351.5,510.0,6.4,ESTIMATED
48,2,清林中路6号,回龙埔(地铁站),22.729192,114.235861,1036.2,1503.0,18.8,ESTIMATED
49,2,边检一大院2期,人民南(地铁站),22.535514,114.118154,422.0,612.0,7.6,ESTIMATED
50,2,梅林街道文化站,上梅林(地铁站),22.570459,114.059415,545.8,791.0,9.9,ESTIMATED
51,2,笋岗村183号,笋岗(地铁站),22.56335,114.111095,345.9,501.0,6.3,ESTIMATED
52,2,北站路23号,笋岗(地铁站),22.56335,114.111095,623.0,903.0,11.3,ESTIMATED
